,GO,term,class,p,p_corr,n_genes,n_study,study_genes
0,GO:0006412,translation,biological_process,2.601781676421071e-46,1.053114496559369e-42,140,6197,"['RPL21', 'RPL22', 'RPL23A', 'MRPL23', 'RPL24', 'RPL26', 'RPL27', 'RPL30', 'RPL27A', 'RPL28', 'RPL29', 'RPL31', 'RPL32', 'RPL34', 'RPL35A', 'RPL36AL', 'ABCF1', 'RPL37', 'RPL37A', 'RPL38', 'RPL39', 'RPL41', 'RPL36A', 'AGO2', 'RPLP0', 'RPLP1', 'RPLP2', 'MRPL12', 'MRPS12', 'AIMP1', 'RPS2', 'RPS3', 'RPS3A', 'RPS4X', 'PAIP2', 'RPS5', 'RPS6', 'MRPL37', 'RPS7', 'NACA', 'RPS8', 'RPS9', 'RPS10', 'RPS11', 'RPS12', 'RPS13', 'RPS14', 'RPS15', 'RPS15A', 'MRPL27', 'MRPL43', 'RPS16', 'RPS17', 'RPS18', 'RPS19', 'RPS20', 'RPS21', 'RPS23', 'RPS24', 'RPS25', 'RPS26', 'RPS27', 'RPS27A', 'RPS28', 'RPS29', 'RRBP1', 'RPL39L', 'LARP4', 'RPL10A', 'RPL23', 'PDF', 'FAU', 'GSPT2', 'EIF4ENIF1', 'MRPS17', 'DHPS', 'MRPL24', 'METTL17', 'COPS5', 'MRRF', 'RPL36', 'AIMP2', 'MRPS18B', 'EEF1E1', 'MRPL42', 'MRPL55', 'MRPL13', 'GEMIN5', 'MRPL28', 'MRPS16', 'MRPS18C', 'MRPL52', 'RPSA', 'RPL14', 'MRPL51', 'RPS27L', 'EEF1A1', 'YARS2', 'EEF1A2', 'MRPS18A', 'MRPS7', 'HARS2', 'MRPL18', 'IGF2BP3', 'EGFR', 'MRPL22', 'EIF4EBP2', 'CPEB4', 'MRPS14', 'MRPS15', 'MRPS33', 'MRPS11', 'MRPS6', 'MRPS5', 'MRPL41', 'MRPL36', 'MRPL34', 'MRPL3', 'MRPL32', 'RPL35', 'RPL13A', 'EIF2AK2', 'RPL3', 'RPL4', 'RPL5', 'MRPL11', 'MRPL9', 'RPL6', 'RPL7', 'RSL24D1', 'RPL8', 'RPL9', 'RPL10', 'RPL11', 'RPL12', 'RPL13', 'RPL15', 'RPL18', 'RPL18A', 'RPL19']"
1,GO:0002181,cytoplasmic translation,biological_process,7.235424481189964e-37,2.1964939868772434e-33,83,6197,"['RPL21', 'RPL22', 'RPL23A', 'RPL24', 'RPL26', 'RPL27', 'RPL30', 'RPL27A', 'RPL28', 'RPL29', 'RPL31', 'RPL32', 'RPL34', 'RPL35A', 'RPL37', 'RPL37A', 'RPL38', 'RPL39', 'RPL41', 'RPL36A', 'RPLP0', 'RPLP1', 'RPLP2', 'RPS2', 'RPS3', 'RPS3A', 'RPS4X', 'RPS5', 'RPS6', 'RPS7', 'RPS8', 'RPS9', 'RPS10', 'RPS11', 'RPS12', 'RPS13', 'RPS14', 'RPS15', 'RPS15A', 'RPS16', 'RPS17', 'RPS18', 'RPS19', 'RPS20', 'RPS21', 'RPS23', 'RPS24', 'RPS25', 'RPS26', 'RPS27', 'RPS27A', 'RPS28', 'RPS29', 'DRG1', 'RPL10A', 'RPL23', 'UBA52', 'FAU', 'RACK1', 'RWDD1', 'RPL22L1', 'RPL36', 'RPSA', 'RPL14', 'GTPBP1', 'RPL26L1', 'RPL35', 'RPL13A', 'RPL3', 'RPL4', 'RPL5', 'RPL6', 'RPL7', 'RPL8', 'RPL9', 'RPL10', 'RPL11', 'RPL12', 'RPL13', 'RPL15', 'RPL18', 'RPL18A', 'RPL19']"
2,GO:0051301,cell division,biological_process,1.3172995801488905e-28,3.1991937603495956e-25,204,6197,"['CDCA3', 'TPR', 'KNTC1', 'CABLES2', 'PDS5B', 'PTTG1', 'HAUS6', 'MIS18BP1', 'PHF13', 'CENPJ', 'DIS3L2', 'NEK6', 'CENPW', 'STAG1', 'NDE1', 'ERCC6L', 'CENPE', 'CENPF', 'MAP4', 'PPP2R2D', 'RPS3', 'CETN2', 'CETN3', 'USP9X', 'VPS4A', 'SMC1A', 'CD2AP', 'MAEA', 'SPC25', 'CKAP5', 'IST1', 'OIP5', 'ZNF207', 'SKA2', 'HAUS3', 'CLASP2', 'POGZ', 'NEDD1', 'CDK14', 'SMC5', 'ANKLE2', 'DCTN1', 'BIRC6', 'NEK9', 'CCNK', 'NCAPG2', 'HNRNPU', 'SPDL1', 'CDC7', 'CDCA2', 'NEDD9', 'PARD6B', 'EVI5', 'USP44', 'TUBA1B', 'CKS1B', 'CKS2', 'NEK2', 'FZR1', 'HAUS4', 'SYCP2', 'KLHL9', 'ANAPC10', 'TXNL4A', 'MIS12', 'PELO', 'TUBA1A', 'PARD6A', 'ANAPC1', 'KLHL21', 'NUP37', 'TIPIN', 'ANAPC2', 'BUB1', 'CLTA', 'BUB1B', 'CLTC', 'MAD1L1', 'NCAPD2', 'KIF14', 'FAM83D', 'UBE2S', 'PDS5A', 'GPSM2', 'SAC3D1', 'ANAPC16', 'DCLRE1A', 'GNAI1', 'TACC1', 'KIF2A', 'GNAI3', 'TIMELESS', 'CDT1', 'MTCL1', 'ATXN10', 'MAD2L2', 'MAPRE2', 'ANAPC7', 'KLHL18', 'DYNC1H1', 'PSRC1', 'ANAPC13', 'ANAPC4', 'SENP5', 'KIF2C', 'HAUS7', 'RALA', 'CCSAP', 'RAN', 'NCAPD3', 'ZWILCH', 'VRK1', 'ACTR8', 'CIB1', 'CENPT', 'RAE1', 'CLASP1', 'WEE1', 'CHMP1B', 'EML4', 'ANAPC15', 'MIS18A', 'TUBA1C', 'AHCTF1', 'KMT5A', 'UBE2C', 'HAUS5', 'NUMA1', 'SMC4', 'ANAPC11', 'ZC3HC1', 'DYNLT3', 'NSL1', 'DYNLT1', 'E4F1', 'ARL8A', 'SPECC1L', 'NR3C1', 'CINP', 'USP37', 'TERF1', 'NCAPH', 'NSMCE2', 'USP16', 'PRPF40A', 'EML3', 'SPAG5', 'ZWINT', 'PPP1CA', 'PPP1CB', 'KLHL22', 'ARF6', 'CEP63', 'CCNE1', 'CCNF', 'CCNG1', 'CCNG2', 'MAPRE1', 'CCNT1', 'CCNT2', 'LIG1', 'LIG3', 'ZNF16', 'RGS14', 'MAPRE3', 'LLGL2', 'LATS1', 'CCDC124', 'BABAM1', 'RUVBL1', 'HAUS1', 'SMC3', 'CDC26', 'CCNB2', 'CCNE2', 'SSNA1', 'CTDP1', 'TPX2', 'CHEK2', 'MASTL', 'MPLKIP', 'DYNC1LI1', 'CENPV', 'ZFYVE19', 'PKN2', 'TNKS', 'KIF18B', 'ZW10', 'CDC25A', 'CDC25B', 'CDC25C', 'CDC27', 'NUDC', 'SKA1', 'PMF1', 'ENSA', 'STAG2', 'EPB41L2', 'MAD2L1', 'CDK4', 'CDK5', 'CDK6', 'HELLS', 'RAB11FIP3']"
3,GO:0000398,"mRNA splicing, via spliceosome",biological_process,3.313047833503796e-24,6.7050566403727666e-21,121,6197,"['SART3', 'SRRM1', 'METTL3', 'MAGOH', 'ZRSR2', 'CWC27', 'BCAS2', 'EIF4A3', 'C9orf78', 'RBM10', 'SF3A1', 'HNRNPM', 'U2AF1L4', 'HNRNPA1L2', 'YTHDC1', 'GPKOW', 'HNRNPA1', 'LSM5', 'HNRNPA2B1', 'HNRNPC', 'HNRNPH1', 'ISY1', 'RSRC1', 'HNRNPU', 'LSM3', 'EFTUD2', 'DHX15', 'U2AF1', 'MFAP1', 'CACTIN', 'TXNL4A', 'CDC40', 'PRPF40B', 'RBM19', 'PPIL3', 'BUD31', 'RBM14', 'SNRNP40', 'PRPF4B', 'SF3A3', 'DDX23', 'SNU13', 'PPIE', 'PPIH', 'DDX41', 'PLRG1', 'DDX39B', 'SYNCRIP', 'DHX16', 'SNRNP25', 'SNRNP27', 'CASC3', 'GCFC2', 'SRSF2', 'SRSF3', 'SRSF4', 'SRSF5', 'SRSF7', 'TRA2B', 'PNN', 'ZCCHC8', 'RBM4B', 'RBM4', 'SNRNP35', 'HNRNPA3', 'RBM42', 'WDR83', 'MAGOHB', 'SLU7', 'GEMIN5', 'BUD13', 'SYF2', 'PRPF8', 'PPWD1', 'CWC22', 'PABPC1', 'PHF5A', 'PRPF40A', 'SF1', 'RALY', 'SNIP1', 'GEMIN7', 'RBM22', 'LSM6', 'UBL5', 'PAXBP1', 'SNW1', 'SF3B3', 'SF3B1', 'PRPF3', 'RBMX2', 'SF3B6', 'ZMAT2', 'WBP4', 'PPIL1', 'ZCRB1', 'SMU1', 'CTNNBL1', 'RBM6', 'RBM5', 'GEMIN6', 'DBR1', 'LSM2', 'IK', 'SNRPA', 'SNRPA1', 'SNRPB', 'SNRPB2', 'DDX39A', 'SNRPC', 'SNRPD1', 'SNRPD2', 'SNRPD3', 'SNRPE', 'SNRPF', 'SNRPG', 'LSM7', 'LSM8', 'SNRNP200', 'SF3B5', 'RBM41']"
4,GO:0032543,mitochondrial translation,biological_process,9.487028862308065e-24,1.6457284496429548e-20,75,6197,"['MRPS31', 'MRPL4', 'MRPS18A', 'MRPL17', 'MRPS30', 'MRPL39', 'MRPL23', 'MRPL50', 'MRPS7', 'DAP3', 'MRPL57', 'MRPL20', 'MRPL18', 'MRPL21', 'MRPS28', 'MRPL15', 'MRPL14', 'MRPL16', 'MRPL22', 'MRPL12', 'MRPS12', 'PTCD1', 'PTCD3', 'MRPL47', 'MRPS17', 'MRPS18B', 'MRPL42', 'MRPL55', 'MRPL37', 'MRPS26', 'MRPS24', 'MRPL44', 'MRPL51', 'MRPL48', 'MRPL53', 'MRPL54', 'MRPS14', 'MRPL30', 'MRPL27', 'MRPS23', 'MRPS33', 'MRPL43', 'GATB', 'MRPS15', 'MRPL13', 'MRPS11', 'MRPS9', 'MRPS34', 'MRPL19', 'MRPS6', 'MRPS5', 'MRPL28', 'MRPS16', 'MRPS18C', 'RARS2', 'MRPL33', 'MRPL52', 'MRPL41', 'MRPL40', 'MRPL36', 'MRPL3', 'CHCHD1', 'AURKAIP1', 'MRPL34', 'MRPL32', 'MRPL46', 'LARS2', 'MRPL49', 'MRPL24', 'MRPL11', 'MRPL9', 'GADD45GIP1', 'MRPS22', 'MRPL1', 'MRPL2']"
5,GO:0006281,DNA repair,biological_process,4.2068300556674495e-22,6.38544217074623e-19,143,6197,"['CDK9', 'PDS5B', 'SMG1', 'TREX1', 'CHAF1B', 'PTTG1', 'PNKP', 'RAD18', 'EYA4', 'ERCC3', 'ERCC4', 'ATR', 'ATRX', 'STUB1', 'INO80C', 'RPS3', 'SMC1A', 'PARK7', 'BACH1', 'BARD1', 'ACTL6A', 'INTS3', 'TRIP12', 'RUVBL2', 'DDB2', 'GADD45A', 'EMSY', 'DMAP1', 'MEN1', 'INIP', 'DDX11', 'FANCA', 'BLM', 'FANCG', 'PARP1', 'PARP4', 'ALKBH1', 'FZR1', 'TFPT', 'UBE2A', 'UBE2B', 'UBE2D3', 'ATRIP', 'PSME4', 'BRCA1', 'SLX1B', 'UBR5', 'SUMO1', 'UCHL5', 'NABP2', 'FEN1', 'NFRKB', 'ETAA1', 'PDS5A', 'MCRS1', 'TAOK1', 'TIMELESS', 'BOD1L1', 'MMS19', 'FH', 'NME3', 'MBD4', 'POLK', 'TTC5', 'USP1', 'NONO', 'MNAT1', 'TOP3B', 'UVRAG', 'SLX1A', 'ASF1A', 'RAD54L', 'VCP', 'PIF1', 'RBX1', 'RAD9A', 'KIF22', 'INO80E', 'RAD51', 'FOXM1', 'RAD51C', 'CUL4A', 'NPM1', 'TTF2', 'TICRR', 'EXOSC10', 'FMR1', 'EP400', 'POLA1', 'POLB', 'POLD1', 'POLE2', 'POLH', 'SMARCAL1', 'OTUB1', 'RMI2', 'TOPBP1', 'MUS81', 'BCCIP', 'APEX1', 'PELI1', 'FANCL', 'UFL1', 'XPA', 'XPC', 'MSH3', 'UPF1', 'SIRT7', 'XRCC2', 'RFC1', 'RFC2', 'XRCC3', 'RFC4', 'CINP', 'ZBTB1', 'CDC14B', 'RAD50', 'HINFP', 'KAT7', 'LIG1', 'MSH6', 'RIF1', 'GTF2H1', 'GTF2H3', 'RUVBL1', 'KIN', 'WDHD1', 'UBE2T', 'SMC3', 'KMT5B', 'NUDT1', 'CSNK1E', 'EEPD1', 'MDC1', 'PAXIP1', 'HLTF', 'EXO1', 'DOT1L', 'HDAC10', 'POLQ', 'RPA3', 'MUTYH', 'TOP3A']"
6,GO:0008380,RNA splicing,biological_process,9.75083233136366e-19,1.3156039666638769e-15,110,6197,"['SRRM1', 'WBP11', 'MAGOH', 'FAM172A', 'ZNF326', 'RBMXL1', 'AKAP17A', 'RRP1B', 'ZRSR2', 'CDK12', 'SAP18', 'BCAS2', 'ZC3H13', 'ECD', 'MBNL1', 'SRPK2', 'SRSF11', 'SREK1', 'HNRNPC', 'NSRP1', 'RSRC1', 'LSM1', 'RRAGC', 'DHX15', 'ARL6IP4', 'SCAF1', 'U2AF1', 'PPIG', 'ZMAT5', 'RBM25', 'SCNM1', 'TCERG1', 'JMJD6', 'SUPT6H', 'ZRANB2', 'SNRNP40', 'RBM15B', 'C1QBP', 'DDX23', 'PRMT1', 'PPIL2', 'NONO', 'DDX39B', 'THRAP3', 'PUS7', 'SYNCRIP', 'THOC1', 'DHX16', 'SNRNP25', 'TTF2', 'THOC7', 'SRSF2', 'FMR1', 'SRSF4', 'SRSF7', 'USB1', 'NOL3', 'YBX1', 'SNRNP35', 'CIR1', 'MAGOHB', 'SLU7', 'PRPF38B', 'RBM28', 'PDCD7', 'PRPF8', 'THOC3', 'THOC2', 'PRPF18', 'RBM39', 'AKAP8L', 'WTAP', 'LGALS3', 'LARP7', 'CLASRP', 'KHSRP', 'THOC6', 'IVNS1ABP', 'HABP4', 'RPUSD4', 'LSM6', 'SF3B3', 'SF3B1', 'TIA1', 'SUGP2', 'PRPF3', 'FAM50A', 'WBP4', 'ZCRB1', 'SMU1', 'SUGP1', 'PUS1', 'ACIN1', 'ALYREF', 'CCAR2', 'RP9', 'MPHOSPH10', 'FUS', 'SNRPA1', 'SNRPB', 'LSM10', 'SNRPD1', 'SNRPD2', 'SNRPD3', 'SREK1IP1', 'SNRPF', 'SNRPG', 'MBNL3', 'RBFOX2', 'SON']"
7,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,biological_process,2.7632281913591696e-18,3.244534169825734e-15,133,6197,"['ZSWIM8', 'ZFAND2A', 'KCTD13', 'STUB1', 'KLHDC2', 'UBE4B', 'TRIM26', 'ANKRD9', 'PSMA1', 'PSMA2', 'PSMA3', 'PSMA4', 'PSMA5', 'PSMA6', 'PSMA7', 'PSMB1', 'PSMB2', 'MAEA', 'PSMB4', 'PSMB5', 'PSMB6', 'PSMB7', 'PSMB8', 'PBK', 'PSMB9', 'PSMB10', 'PSMC1', 'PSMC2', 'PEX10', 'PSMC4', 'PSMC5', 'PSMC6', 'PSMD2', 'PSMD4', 'PSMD7', 'PSMD8', 'BFAR', 'PSMD11', 'PSMD12', 'PSMD13', 'MDM2', 'RNF187', 'TRIP12', 'DDIT3', 'KLHL20', 'PSMD6', 'USP44', 'ERCC8', 'UBE2A', 'UBE2B', 'UBE2D1', 'FBXO22', 'UBE2D3', 'FBXO9', 'PLAA', 'UBXN2B', 'UBE2G1', 'UBE2H', 'FAF2', 'NSFL1C', 'UBE2N', 'UBR5', 'UCHL1', 'DTX4', 'KIF14', 'RNF216', 'GID8', 'SPOP', 'FBXO45', 'RNF145', 'TRIM38', 'BAG6', 'SPSB3', 'VCP', 'SPSB2', 'RBX1', 'TBL1X', 'PML', 'FBXW11', 'RAD23A', 'RAD23B', 'ARMC8', 'CUL4A', 'VHL', 'CUL3', 'UBR2', 'ZFAND2B', 'DCAF13', 'ITCH', 'TRIM2', 'NEDD4L', 'SPOPL', 'DERL1', 'ADRM1', 'SH3BGRL', 'WWP2', 'UBR4', 'DTL', 'SMURF1', 'APC', 'RNF34', 'FBXL17', 'AMBRA1', 'PELI1', 'SIAH2', 'NHLRC3', 'UBXN1', 'SKP1', 'IFI27', 'WDR26', 'RNF126', 'NPLOC4', 'FAF1', 'KCTD17', 'KLHL22', 'FEM1B', 'PPP2CB', 'MTA1', 'ARRB2', 'RNF4', 'KLHDC3', 'KCTD10', 'UBXN7', 'SHARPIN', 'ZNRF1', 'UBXN2A', 'TNFAIP1', 'KCTD2', 'CDC34', 'PCBP2', 'PSMD14', 'RNF122', 'CRBN']"
8,GO:0006364,rRNA processing,biological_process,2.9391316699401364e-18,3.244534169825734e-15,81,6197,"['BRIX1', 'CDKN2A', 'NOLC1', 'POP7', 'RPL26', 'RPL27', 'WBP11', 'RPL35A', 'PPAN', 'POP4', 'RRP1B', 'FBL', 'EIF4A3', 'RPS6', 'RPS7', 'NOL6', 'RPS15', 'WDR55', 'RPS16', 'RPS17', 'WDR18', 'RPS19', 'EXOSC5', 'ISG20', 'RPS24', 'RPS25', 'RPS27', 'RPS28', 'NPM3', 'DDX10', 'RPP25', 'WDR75', 'POP5', 'RRP36', 'PIN4', 'IMP4', 'EXOSC6', 'BYSL', 'EMG1', 'NOC4L', 'UTP20', 'EBNA1BP2', 'PIH1D1', 'NOP2', 'NOL8', 'EXOSC9', 'EXOSC10', 'XRN2', 'DCAF13', 'DDX17', 'DDX49', 'WDR36', 'YBEY', 'RPP30', 'EXOSC3', 'NVL', 'EXOSC1', 'RPL14', 'DDX51', 'LYAR', 'KRR1', 'DIS3', 'ESF1', 'FCF1', 'RPUSD4', 'NOP58', 'METTL5', 'NOP14', 'PELP1', 'DROSHA', 'SBDS', 'PES1', 'GEMIN4', 'PDCD11', 'MRTO4', 'DDX21', 'EXOSC7', 'RPL5', 'RPL7', 'RPL11', 'UTP14C']"
9,GO:0006974,DNA damage response,biological_process,1.1516486518830093e-17,1.1653724649846153e-14,154,6197,"['MYC', 'CDKN1A', 'SMG1', 'SETD1A', 'NCOA6', 'METTL3', 'RAD18', 'TRAF6', 'ZBTB38', 'SETX', 'ABL1', 'RNF168', 'ATR', 'CRADD', 'MCM8', 'ING2', 'SUSD6', 'RPS3', 'TRAIP', 'STK38', 'BARD1', 'CBX3', 'MCL1', 'IRF7', 'CHD2', 'MCM10', 'PPP1R15A', 'SMC5', 'INTS3', 'TRIP12', 'DDB2', 'CCNK', 'HMCES', 'DDIT3', 'WAC', 'MEN1', 'NEDD4', 'DDX11', 'TAOK2', 'BLM', 'INIP', 'ERCC8', 'STK11', 'FANCF', 'FANCG', 'PARP1', 'PARP4', 'TLK1', 'UBA1', 'UBE2B', 'UBE2E2', 'PSME4', 'BRCA1', 'IER3', 'UBR5', 'YAP1', 'RPTOR', 'NAE1', 'NABP2', 'ETAA1', 'C1QBP', 'PRMT1', 'TAOK1', 'TIMELESS', 'VAV3', 'BOD1L1', 'DGCR8', 'TAF1', 'POLK', 'TTC5', 'FBXO45', 'GNL1', 'PMAIP1', 'VCP', 'USP47', 'RBX1', 'NSMCE1', 'RAD9A', 'DYRK2', 'NPAS2', 'WDR48', 'RAD51', 'CUL4B', 'CUL4A', 'TLK2', 'OARD1', 'ARMT1', 'TIGAR', 'VRK1', 'ZC3H12A', 'CIB1', 'TANK', 'SLF1', 'FLYWCH1', 'DCUN1D5', 'RBBP5', 'RBBP6', 'ALKBH7', 'MICA', 'POLB', 'CDKN2AIP', 'SMARCAL1', 'FAAP20', 'GNB1L', 'MCTS1', 'DTL', 'OTUB1', 'ZBTB4', 'SMC6', 'ZDHHC16', 'MACROD1', 'TOPBP1', 'CASP2', 'APC', 'BAZ1B', 'XIAP', 'CHCHD6', 'FANCL', 'UFL1', 'SAMHD1', 'SIRT7', 'XRCC3', 'OGG1', 'USP16', 'ZBTB1', 'ASH2L', 'RFWD3', 'RAD50', 'MSL2', 'USP10', 'RIF1', 'FAM111A', 'KIN', 'UBE2T', 'ATAD3A', 'FBXO31', 'CSNK2A1', 'MDC1', 'CHEK2', 'MASTL', 'PRKCD', 'CCAR2', 'FOXP1', 'DYNLL1', 'SETD7', 'SLFN11', 'MAPK1', 'SPRTN', 'POLQ', 'ENDOG', 'NFAT5', 'IMMP2L', 'TOP2A', 'TP53BP1']"
