tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	958	0	live	CD40	Bp50, CDW40, TNFRSF5, p50	CD40 molecule	tumor necrosis factor receptor superfamily member 5|B cell surface antigen CD40|B cell-associated molecule|CD40 molecule, TNF receptor superfamily member 5|CD40L receptor	20q13.12	20	NC_000020.11	46118314	46129858	plus	9	109535	
9606	Homo sapiens	640	0	live	BLK	MODY11	BLK proto-oncogene, Src family tyrosine kinase	tyrosine-protein kinase Blk|B lymphoid tyrosine kinase|BLK nonreceptor tyrosine kinase|b lymphocyte kinase|p55-Blk	8p23.1	8	NC_000008.11	11494387	11564599	plus	16	191305	
9606	Homo sapiens	8190	0	live	MIA	CD-RAP1, MIA	MIA SH3 domain containing	melanoma-derived growth regulatory protein|melanoma inhibitory activity	19q13.2	19	NC_000019.10	40775160	40777490	plus	5	601340	
9606	Homo sapiens	1401	0	live	CRP	PTX1	C-reactive protein	C-reactive protein|C-reactive protein, pentraxin-related|pentraxin 1	1q23.2	1	NC_000001.11	159712289	159714589	minus	3	123260	
9606	Homo sapiens	2212	0	live	FCGR2A	CD32, CD32A, CDw32, FCG2, FCGR21, FcGR, FcgammaRIIa, IGFR2, FCGR2A	Fc gamma receptor IIa	low affinity immunoglobulin gamma Fc region receptor II-a|Fc fragment of IgG receptor IIa|Fc fragment of IgG, low affinity IIa, receptor (CD32)|Fc gamma receptor RIIa3|Immunoglobulin G Fc receptor II|fc-gamma-RIIa|fcRII-a|igG Fc receptor II-a	1q23.3	1	NC_000001.11	161505457	161524048	plus	10	146790	
9606	Homo sapiens	80271	0	live	ITPKC	IP3-3KC, IP3KC	inositol-trisphosphate 3-kinase C	inositol-trisphosphate 3-kinase C|IP3 3-kinase C|IP3K C|InsP 3 kinase C|inositol 1,4,5-trisphosphate 3-kinase C|insP 3-kinase C	19q13.2	19	NC_000019.10	40717112	40740860	plus	7	606476	
9606	Homo sapiens	3492	0	live	IGH	IGD1.1@, IGH@, IGHD@, IGHDY1, IGHJ, IGHJ@, IGHV, IGHV@, IGH	immunoglobulin heavy locus	D (diversity) region of heavy chains|J (joining) region of heavy chains|immunglobulin heavy chain variable region|immunoglobulin heavy diversity cluster|immunoglobulin heavy diversity group|immunoglobulin heavy diversity locus|immunoglobulin heavy joining cluster|immunoglobulin heavy joining group|immunoglobulin heavy polypeptide, joining region|immunoglobulin heavy variable cluster|immunoglobulin heavy variable group	14q32.33	14	NC_000014.9	105586437	106879844	minus	0	146910,147010,147070	
9606	Homo sapiens	463	0	live	ZFHX3	ATBF1, ATBT, ATFB8, C16orf47, SCA4, ZFH-3, ZNF927	zinc finger homeobox 3	zinc finger homeobox protein 3|AT motif-binding factor 1|AT-binding transcription factor 1|alpha-fetoprotein enhancer binding protein|zinc finger homeodomain protein 3	16q22.2-q22.3	16	NC_000016.10	72782885	73891930	minus	23	104155	
9606	Homo sapiens	3781	0	live	KCNN2	DYT34, KCa2.2, NEDMAB, SK2, SKCA2, SKCa 2, hSK2	potassium calcium-activated channel subfamily N member 2	small conductance calcium-activated potassium channel protein 2|apamin-sensitive small-conductance Ca2+-activated potassium channel|potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 2|potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2|small conductance calcium-activated potassium channel 2	5q22.3	5	NC_000005.10	114055978	114496496	plus	16	605879	
9606	Homo sapiens	9276	0	live	COPB2	MCPH19, OPDD, beta'-COP	COPI coat complex subunit beta 2	coatomer subunit beta'|beta'-coat protein|betaprime-COP|coatomer binding complex, beta prime subunit|coatomer protein complex subunit beta 2|coatomer protein complex subunit beta prime|coatomer protein complex, subunit beta 2 (beta prime)|p102	3q23	3	NC_000003.12	139357406	139389680	minus	23	606990	
9606	Homo sapiens	1600	0	live	DAB1	SCA37	DAB adaptor protein 1	disabled homolog 1|DAB1, reelin adaptor protein|Dab reelin signal transducer 1|Dab, reelin signal transducer, homolog 1|spinocerebellar ataxia 37|yotari	1p32.2-p32.1	1	NC_000001.11	56994778	58546726	minus	27	603448	
9606	Homo sapiens	57162	0	live	PELI1		pellino E3 ubiquitin protein ligase 1	E3 ubiquitin-protein ligase pellino homolog 1|RING-type E3 ubiquitin transferase pellino homolog 1|pellino homolog 1|pellino-1|pellino-related intracellular-signaling molecule|protein pellino homolog 1	2p14	2	NC_000002.12	64092652	64144420	minus	13	614797	
9606	Homo sapiens	79682	0	live	CENPU	CENP5050, KLIP1, MLF1IP, PBIP1, CENPU	centromere protein U	centromere protein U|KSHV latent nuclear antigen interacting protein 1|MLF1 interacting protein|centromere protein of 50 kDa|interphase centromere complex protein 24|polo-box-interacting protein 1	4q35.1	4	NC_000004.12	184694085	184734096	minus	13	611511	
9606	Homo sapiens	3112	0	live	HLA-DOB	DOB, HLA_DOB	major histocompatibility complex, class II, DO beta	HLA class II histocompatibility antigen, DO beta chain|MHC class II antigen DOB	6p21.32	6	NC_000006.12	32812763	32817002	minus	6	600629	
9606	Homo sapiens	3120	0	live	HLA-DQB2	DQB2, HLA-DQB1, HLA-DXB	major histocompatibility complex, class II, DQ beta 2	HLA class II histocompatibility antigen, DQ beta 2 chain|DV19.1 (major histocompatibility complex, class II, DQ beta 2 (HLA-DXB))|HLA class II histocompatibility antigen, DX beta chain|MHC class II antigen DQB2	6p21.32	6	NC_000006.12	32756098	32763532	minus	6	615161	
9606	Homo sapiens	9253	0	live	NUMBL	CAG3A, CTG3a, NBL, NUMB-RIKE, NUMBR, TNRC23, NUMBL	NUMB like endocytic adaptor protein	numb-like protein|numb homolog-like|numb-related protein	19q13.2	19	NC_000019.10	40665905	40690651	minus	11	604018	
9606	Homo sapiens	83648	0	live	FAM167A	C8orf13, D8S265, DIORA-1	family with sequence similarity 167 member A	protein FAM167A|disordered autoimmunity 1	8p23.1	8	NC_000008.11	11421476	11475908	minus	8	610085	
9606	Homo sapiens	79934	0	live	COQ8B	ADCK4, NPHS9	coenzyme Q8B	atypical kinase COQ8B, mitochondrial|aarF domain containing kinase 4|aarF domain-containing protein kinase 4|coenzyme Q protein 8B	19q13.2	19	NC_000019.10	40691530	40716886	minus	16	615567	
9606	Homo sapiens	90390	0	live	MED30	MED30S, THRAP6, TRAP25	mediator complex subunit 30	mediator of RNA polymerase II transcription subunit 30|TRAP/Mediator complex component TRAP25|putative mediator of RNA polymerase II transcription subunit 30|thyroid hormone receptor-associated protein 6|thyroid hormone receptor-associated protein complex 25 kDa component	8q24.11	8	NC_000008.11	117520713	117540262	plus	5	610237	
9606	Homo sapiens	53339	0	live	BTBD1	C15orf1, NS5ATP8	BTB domain containing 1	BTB/POZ domain-containing protein 1|BTB (POZ) domain containing 1|HCV NS5A-transactivated protein 8|hepatitis C virus NS5A-transactivated protein 8	15q25.2	15	NC_000015.10	83016423	83067252	minus	9	608530	
